symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
SBIN
BHARTIARTL
ITC
LT
SUNPHARMA
AXISBANK
KOTAKBANK
HCLTECH
TATASTEEL
MARUTI
TITAN
WIPRO
ONGC
NTPC
POWERGRID
M&M
ULTRACEMCO
BAJFINANCE
ADANIPORTS
HINDALCO
DIVISLAB
GRASIM
DRREDDY
EICHERMOT
COALINDIA
BRITANNIA
ASIANPAINT
HEROMOTOCO
UPL
SHREECEM
BAJAJFINSV
TECHM
NESTLEIND
BPCL
HINDUNILVR
CIPLA
APOLLOHOSP
ADANIENT
SBILIFE
JSWSTEEL
HDFCLIFE
BAJAJ-AUTO
INDUSINDBK
TATAMOTORS
TATACONSUM
HINDZINC
PIDILITIND
ICICIPRULI
DABUR
MARICO
VEDL
BERGEPAINT
HAL
SIEMENS
DIXON
TRENT
ZOMATO
SRTRANSFIN
INDIAMART
PAGEIND
COLPAL
GODREJCP
AMBUJACEM
ACC
JINDALSTEL
TORNTPHARM
ABB
HAVELLS
BANKBARODA
CANBK
PNB
UNIONBANK
FEDERALBNK
IDFCFIRSTB
RBLBANK
BANDHANBNK
MUTHOOTFIN
CHOLAFIN
BAJAJHLDNG
HDFCAMC
LICI
MAXHEALTH
METROPOLIS
ALKEM
BIOCON
LAURUSLABS
AUROPHARMA
GLENMARK
LUPIN
MANKIND
ZYDUSLIFE
ABBOTINDIA
PFIZER
NATIONALUM
HINDCOPPER
SAIL
NMDC
MOTHERSON
BOSCHLTD
TVSMOTOR
ASHOKLEY
EXIDEIND
AMARAJABAT
BALKRISIND
MRF
CEAT
APOLLOTYRE
CUMMINSIND
KEC
VOLTAS
WHIRLPOOL
CROMPTON
VGUARD
NAUKRI
JUBLFOOD
DELHIVERY
ADANIGREEN
ADANIPOWER
PFC
RECLTD
IREDA
IEX
CONCOR
GMRINFRA
IRCTC
RAILTEL
IRCON
NBCC
RVNL
INDIACEM
RAMCOCEM
DALBHARAT
JKTYRE
YESBANK
SOUTHBANK
UCOBANK
IOB
CENTRALBK
INDIANB
MAHABANK
HDFC
LICHSGFIN
PEL
STARHEALTH
LTIM
LTTS
MPHASIS
COFORGE
PERSISTENT
MINDTREE
LTI
BSOFT
OFSS
INTELLECT
ORACLEFS
SUNTV
ZEEL
PVRINOX
GAIL
GUJGAS
PETRONET
OIL
MGL
IGL
TATAPOWER
JSWENERGY
TORNTPOWER
NHPC
SJVN
IRFC
MOIL
JINDALSTEL
JINDALSAW
APLAPOLLO
RATNAMANI
SANDUR
SANOFI
GSK
NATCOPHARM
JBCHEPHARM
IPCALAB
GRANULES
SYNGENE
PGHH
EMAMILTD
VBL
VARUNBEV
UBL
RADICO
UNSPICES
DLF
GODREJPROP
OBEROIRLTY
PRESTIGE
BRIGADE
SOBHA
MACROTECH
LODHA
IRB
NCC
VI
IDEA
NETWORK18
TV18BRDCST
INDIGO
SPICEJET
BLUEDART
GATI
TCI
SWIGGY
PAYTM
NYKA
POLYCAB
SYMPHONY
BLUESTARCO
